200 1000 3656793528482.72 5.215639153488752e+18 10 6.67e-08
0.0 0.0 0.0 0.0 0.0 0.0 3.9768197413961025e+33
2.1032447482117312e+18 -7.145216270968549e+17 -7.717209763979503e+17 -11974.451689764905 -12035.878584812384 -8618.18080941403 3.9768197413961025e+33
3.2187157673796936e+18 2.1041616204967636e+18 -4.2539603519223514e+17 -6106.843482269261 -11537.284726399988 -16192.50344981862 3.9768197413961025e+33
1.641818892294926e+17 -5.328627179064747e+18 -2.1507024014663764e+18 -1948.757582305365 12002.813149395235 38989.70525432857 3.9768197413961025e+33
-6.97193515166188e+18 -4.4393818962551e+17 -3.7411345135275745e+18 10323.752045254201 -6954.376479190257 23801.322690667166 3.9768197413961025e+33
-1.7778663251357604e+18 -7.048902705169637e+18 2.0621825495619034e+18 27621.092496600824 -28983.339742459928 9045.04017845854 3.9768197413961025e+33
2.8081750943757967e+18 2.490969930997946e+18 -1.5137283501959662e+18 8874.169043128095 11322.070454391154 -19976.919950896863 3.9768197413961025e+33
4.711503936533074e+18 -1.798740752358402e+17 1.296303074430842e+18 -21248.888604922515 2004.2153914979103 -13388.831313823364 3.9768197413961025e+33
-6.523855657294224e+18 -2.4565367243124076e+18 -1.43309559585128e+18 -7771.41585727115 -2848.3890671681356 -7103.325722627873 3.9768197413961025e+33
-2.05350674434079e+18 -6.081466765849149e+18 3.054144263971811e+18 -4165.021849274719 -37342.98247379359 9827.677906285671 3.9768197413961025e+33
-4.829541419739125e+18 1.945698969158268e+16 -4.44252573695772e+18 -14779.715572082943 -31344.072217917368 -1040.1648768632006 3.9768197413961025e+33
6.266662611629194e+18 9.816415300300966e+17 -2.7784846722579664e+17 13091.791523261607 39532.56718732112 -11719.69772452908 3.9768197413961025e+33
8.474982074238712e+17 -9.039002909013606e+17 -2.91916848385026e+18 30055.234972616516 20253.43026102152 10507.896622034094 3.9768197413961025e+33
1.429043996666838e+18 -4.824359787641599e+18 4.857733608274585e+18 7526.27953815909 -9807.179122046202 40314.21214825703 3.9768197413961025e+33
8.111864246869967e+17 -1.6580686513098153e+18 -3.1488019076219776e+18 21527.728889907077 -4520.25586906928 -5359.278607848007 3.9768197413961025e+33
-5.424506309871521e+18 -2.4009462693176694e+18 -1.427680574791142e+18 -15464.854799223362 -4972.943680966671 -5502.00180778641 3.9768197413961025e+33
-3.9820158161622676e+18 -2.6857288561278236e+16 -7.069862653788231e+18 -7794.033315391806 -23470.29350459995 17878.582070879314 3.9768197413961025e+33
-4.8093863313088877e+17 -2.8384967903545953e+18 4.0278952851261076e+18 22679.84648122527 3361.5089178887774 -16414.725576759927 3.9768197413961025e+33
-5.442052913293622e+18 -6.605330272529289e+17 1.1304814391571878e+17 21745.624416789455 -32924.58333785018 33236.93822675334 3.9768197413961025e+33
-4.89516643371422e+18 2.738916900840499e+18 -2.803638655543417e+18 -10625.457290828175 -26057.83649062127 2533.102755233985 3.9768197413961025e+33
-8.642666683886825e+18 -8.93422365099735e+17 1.9550615276611553e+18 24386.75393451988 5589.350926386813 -13073.123565387772 3.9768197413961025e+33
-3.239872243222126e+18 -1.5460770289650158e+18 2.241724176388087e+18 2528.241086642484 -31199.56134127934 28039.18444072986 3.9768197413961025e+33
-4.773727637275086e+18 8.44502071570167e+17 -8.110820255547247e+18 -5896.9953937010205 10607.373657057817 6766.00161172767 3.9768197413961025e+33
-4.9147885026944403e+17 7.615266862969325e+18 -3.698582270848911e+18 -7500.261280480776 3940.4238071359377 4593.516523577834 3.9768197413961025e+33
-3.976396729903221e+18 -3.5884825579489056e+17 -7.936444463816979e+17 -14245.525668898892 12706.519777590001 9545.524090314724 3.9768197413961025e+33
3.942401031936522e+17 8.425791603327369e+17 1.866256757595126e+18 43355.79866931981 12734.68096512986 -9749.229264441095 3.9768197413961025e+33
-2.3444212780131835e+18 -2.2456162452591214e+18 1.4737049224988974e+18 17928.327657810903 10649.647476888897 39312.38524788311 3.9768197413961025e+33
5.970091913295471e+18 1.7229298529381496e+18 -4.697406215538773e+18 19399.313768854783 10284.736437122872 -5086.677660264008 3.9768197413961025e+33
1.735672258569493e+18 4.629688199740525e+18 2.8419139978129413e+18 1927.8318764273224 -33675.23143798886 728.1595791593351 3.9768197413961025e+33
5.753992096043819e+18 4989096918231320.0 -2.1587081503139374e+18 13067.793911994058 -3379.96840528463 -6399.4130133946055 3.9768197413961025e+33
3.0880048818618234e+17 3.1573354901328845e+18 -1.3616773502711757e+18 -13790.986491599131 20043.041755578182 17265.094033025856 3.9768197413961025e+33
4.5262610709701755e+18 -4.3734593110833367e+18 5.727107106281788e+18 -22528.31708989163 33710.67875242333 13886.107846618841 3.9768197413961025e+33
3.728990457656505e+18 -4.2948451048678566e+17 2.2978804503787034e+18 -35787.73390524023 -11588.667004272951 -3998.7325871377448 3.9768197413961025e+33
-1.3746392262655624e+18 -2.67458931404821e+18 2.0308397090773604e+18 20832.169613359078 -8401.233372596305 9218.947472751306 3.9768197413961025e+33
-3.050946614429234e+18 4.0885677629685306e+17 2.622250124688343e+18 -187.138948234405 -23492.722660884334 -4309.014819029739 3.9768197413961025e+33
-2.872906248689104e+18 2.3923918954014423e+18 -7.686796402854056e+17 -5669.475934408804 41168.22570508362 11119.278860072409 3.9768197413961025e+33
8.834211262374879e+18 -5.976780407282031e+17 2.866242576205641e+18 -23930.177594044973 -31623.253320034786 -21456.117444629082 3.9768197413961025e+33
6.20910094025907e+18 -4.243668761989921e+18 4.636025976741597e+18 -2118.4577493083675 14289.013719756083 18287.11624919306 3.9768197413961025e+33
