1000 1000 1635367781873.7354 3.050124280183729e+18 10 6.67e-08
0.0 0.0 0.0 0.0 0.0 0.0 1.988409870698051e+33
4.9485239765583624e+16 7.181217357693801e+17 -3.0647509478823593e+18 22856.63582999632 18319.12735925601 -2089.8714525137184 1.988409870698051e+33
-7.190331844684613e+17 -9.670728000691086e+16 3.6182299096432097e+18 -69390.58184336191 43935.481668299966 -8175.906237471408 1.988409870698051e+33
-3.1049053674744786e+18 -3.149164464758178e+18 3.8423645192771896e+18 -62890.92124273083 1788.7868970546162 25144.786595046608 1.988409870698051e+33
2.894470006032438e+18 3.7348138502743393e+18 -5.936364218762428e+18 -48624.70504522376 -3299.063817822247 35769.61621042867 1.988409870698051e+33
5.407963298053112e+18 3.1636203437295046e+17 5.112995323828698e+18 -74801.28797651916 5948.725429540304 -1094.0466373740476 1.988409870698051e+33
4.598838211705673e+18 4.498015886901296e+17 -5.688564919475275e+18 42855.1689615429 26184.142109314078 71381.72547204987 1.988409870698051e+33
5.306221426904339e+17 -1.9031090882493373e+18 2.775541244893182e+18 90241.01622740255 20599.274801077227 56651.526638878866 1.988409870698051e+33
-4.1423803756892605e+18 3.9089182684833065e+18 4.3528555078455613e+18 6118.809271857606 -79671.65435523575 22030.87410610742 1.988409870698051e+33
-2.6662587965273414e+17 4.96572104611179e+18 -1.2335998340907459e+18 88271.30038709869 49701.445187042445 -871.6106904985019 1.988409870698051e+33
6.643578981568914e+18 -3.069160676375567e+18 1.938528073036264e+18 3833.26568494948 -25886.75773479923 -55889.924489803314 1.988409870698051e+33
9.924782355567654e+17 3.187975058662253e+18 1.3103116692825158e+17 -34829.95832018165 5418.1453821265095 25336.55900910675 1.988409870698051e+33
-6.251883307860442e+18 -4.4562752237253366e+18 2.866167612895375e+18 -2453.257517133988 18493.585644468443 29380.25624947994 1.988409870698051e+33
5.206811674218747e+18 1.344584148910937e+18 -6.539231432814358e+18 -4213.5472401133475 73707.25361686548 37045.20064553246 1.988409870698051e+33
2.3200939715428915e+18 6.86324272940508e+17 6.305304736941137e+17 72866.10853630697 16496.118403521385 -65109.60606600364 1.988409870698051e+33
-7.820200140896375e+17 2.9938181508060897e+18 2.102826274220879e+18 -35507.70711618603 -66698.28652694738 -38960.45797332107 1.988409870698051e+33
-1.4251268964399626e+18 -4.994998889542552e+18 2.71182802144011e+18 18929.517760704246 -24661.86207373101 38422.143406568954 1.988409870698051e+33
5.77444060255579e+18 -4.010966623756578e+17 3.3108524064837765e+18 -39172.741704728636 -30978.364944397832 -6112.562854393992 1.988409870698051e+33
-3.5919259075194793e+18 2.0538474325190538e+18 -1.455175762754881e+18 64787.40253747576 -47158.08100210859 21196.841342300224 1.988409870698051e+33
-5.125415151582831e+16 -2.1379465303530716e+18 4.3914609940318e+17 -4159.342664331399 44656.23993365102 76772.45038067877 1.988409870698051e+33
1.8516242246723697e+18 6.715212429613656e+17 3.3976368172759066e+18 -44796.181010316504 -60731.85798512117 4914.763566498828 1.988409870698051e+33
1.0190576444539348e+18 3.507270350478526e+18 1.1880638659536773e+18 36365.62983834685 59769.95952054904 -61538.3010500997 1.988409870698051e+33
1.2954188656219018e+18 2.574681374984231e+18 8.997129048146006e+17 -36270.08436934704 69586.90999485875 48089.130520463536 1.988409870698051e+33
1.6607977870792627e+18 1.961520462885112e+18 -2.279523904632224e+18 -94915.74344379907 -56329.02314951531 -10044.462505087156 1.988409870698051e+33
4.916533754320635e+18 1.2624370260127485e+18 5.835754333610629e+18 -49210.49698044566 50049.48695520035 23766.883078886643 1.988409870698051e+33
-1.404180412253975e+18 4.4258420705395953e+18 5.46563044606849e+18 39329.27079914279 -41219.702512190794 -6117.442450672842 1.988409870698051e+33
2.138837878247563e+18 -1.5531284984986527e+18 9.601886693611429e+17 -13236.71061953032 -46531.01480667416 -48502.285978021486 1.988409870698051e+33
-1.0785269999166864e+17 1.7947562854951357e+17 -5.424587552693243e+18 5852.918717790012 9661.33333747151 97597.30214219788 1.988409870698051e+33
2.1530913530773315e+18 6.190128953053228e+17 6.353444483435283e+18 16870.605136970644 -14259.125000537539 -2571.7958723151773 1.988409870698051e+33
1.108466266889001e+18 5.051743598633517e+18 -7.457478414753014e+18 -21275.527389300565 -55230.97238378258 56243.414056840484 1.988409870698051e+33
4.247111976566618e+18 4.071753248483882e+17 3.630991024942533e+18 52607.2192206234 25684.371215575426 44884.926552885336 1.988409870698051e+33
3.565747780590428e+18 4.993643855492219e+18 -3.895909048286427e+18 -51732.04960685317 29741.834356742496 37773.700195377845 1.988409870698051e+33
-3.1369676173956557e+18 -4.749828645747655e+18 5.316917806873706e+18 83227.68197449678 -2475.659130394064 12643.11641727035 1.988409870698051e+33
2.74611441829148e+17 3.7426854840817357e+18 -1.9526574850660508e+18 83174.34829769521 -65476.89124236936 479.1973986702356 1.988409870698051e+33
