9 100000 24762.303557869418 8974093553654.3 1000 6.67e-08
0.0 0.0 0.0 0.0 0.0 0.0 1.988e+33
5790000000000.0 0.0 0.0 0.0 4785549.636093685 0.0 3.3e+26
10820000000000.0 0.0 0.0 0.0 3500720.8130213534 0.0 4.87e+27
14960000000000.0 0.0 0.0 0.0 2977181.49021326 0.0 5.97e+27
22790000000000.0 0.0 0.0 0.0 2412120.1931577907 0.0 6.42e+26
77850000000000.0 0.0 0.0 0.0 1305094.0164520952 0.0 1.898e+30
143400000000000.0 0.0 0.0 0.0 961604.5980902651 0.0 5.68e+29
287100000000000.0 0.0 0.0 0.0 679601.7847670692 0.0 8.68e+28
449500000000000.0 0.0 0.0 0.0 543133.0853364548 0.0 1.02e+29
