9 10000 24762.303557869418 8974093553654.3 500 6.67e-08
71352222719.30473 35956371233.8133 0.0 1378.3194118366325 1125.8714087805342 0.0 1.988e+33
-63255498302347.664 97584041630405.55 0.0 -489003.5221699659 318239.66046977346 0.0 3.3e+26
3257326953674.3784 27363461851692.094 0.0 -1460414.7865652496 -642757.4120675551 0.0 4.87e+27
-5071712418426.098 27766357866534.27 0.0 -1486535.289918962 -637349.8385269411 0.0 5.97e+27
24034828098421.008 8760113835606.292 0.0 -366688.53763932537 2161271.549022022 0.0 6.42e+26
10653907795584.15 78432050471889.47 0.0 -1268008.2513992721 196463.58560086307 0.0 1.898e+30
119885656498568.17 78780332126144.27 0.0 -526758.976936399 804698.3655079822 0.0 5.68e+29
281067009034346.78 58505417408262.77 0.0 -138643.46603538448 665389.6353373454 0.0 8.68e+28
447031179787356.4 46999956752903.92 0.0 -56885.85224305709 540165.4371739291 0.0 1.02e+29
