9 10000 24762.303557869418 8974093553654.3 500 6.67e-08
26174155825.065197 7955124185.949168 0.0 976.724283453724 429.92176883120663 0.0 1.988e+33
-41060879389994.195 79132641561876.64 0.0 -719886.8171642416 713717.5805355898 0.0 3.3e+26
-2097280512935.9001 -10962617501346.152 0.0 3448480.0482948814 -29601.83644003255 0.0 4.87e+27
-5166816520456.731 -15678166703363.457 0.0 2780828.2391802357 -180138.45483114963 0.0 5.97e+27
-29635104973396.816 -8003388088592.864 0.0 729781.231976571 -1656219.2137039248 0.0 6.42e+26
53035042422085.57 57654513004335.34 0.0 -941682.0591274331 891734.9085868356 0.0 1.898e+30
135566548464988.48 46782189755752.88 0.0 -313045.68775249535 909440.7199796754 0.0 5.68e+29
285123990182873.1 33597008644026.598 0.0 -79624.83365757999 674953.2514368445 0.0 8.68e+28
448692821421394.94 26895885830699.4 0.0 -32554.31766284198 542163.8265524311 0.0 1.02e+29
