9 10000 24762.303557869418 8974093553654.3 500 6.67e-08
179922487289.98514 367030642878.6852 0.0 -438.73518625172915 2510.9295525894486 0.0 1.988e+33
-81189747736741.25 74289445616234.23 0.0 302533.58155165735 -613003.3808898187 0.0 3.3e+26
-29105147509340.742 -4871617812679.097 0.0 762869.8294003998 -1155229.0523704486 0.0 4.87e+27
-19688010818569.16 -20032823781838.55 0.0 900171.1682796829 -1314613.1186990857 0.0 5.97e+27
5414610073884.108 -23893688429920.367 0.0 2242113.5776022566 110370.4611135251 0.0 6.42e+26
-64324156839054.57 -47506225509842.16 0.0 765524.2376989765 -1003878.7665394286 0.0 1.898e+30
-586212906772.18 143881094320146.66 0.0 -958800.8099260071 -744.4622976269088 0.0 5.68e+29
243660417055419.56 151761866333995.7 0.0 -359719.40802934224 576979.458440487 0.0 8.68e+28
431426589105052.3 126070277312623.7 0.0 -152602.14874369118 521368.49003026664 0.0 1.02e+29
