9 10000 24762.303557869418 8974093553654.3 500 6.67e-08
54730680459.40268 23635535404.386433 0.0 1297.431140384973 866.2868929193887 0.0 1.988e+33
-56783829008091.07 92990488467962.94 0.0 -557512.2254435774 426635.75747586065 0.0 3.3e+26
18501177872754.785 25779259242523.516 0.0 -901338.0335321131 794731.4238348928 0.0 4.87e+27
12970189852762.287 25253235464788.727 0.0 -1243955.7713863233 1017417.3941619423 0.0 5.97e+27
14818853280665.139 -17376787655347.725 0.0 1811124.9424754677 1591495.7922363516 0.0 6.42e+26
26034943379778.2 74439743339390.44 0.0 -1207954.7929122099 447215.0602557648 0.0 1.898e+30
125989542292951.66 68559357958579.195 0.0 -458532.5935065823 845492.8368003835 0.0 5.68e+29
282662746576500.0 50243284526553.59 0.0 -119067.76093740069 669153.0614738887 0.0 8.68e+28
447685460360366.3 40307098652161.18 0.0 -48785.74879457663 540952.5731353427 0.0 1.02e+29
