9 10000 24762.303557869418 8974093553654.3 500 6.67e-08
88620464422.85045 51566217826.35075 0.0 1399.340590470216 1395.8546024145892 0.0 1.988e+33
-68910788003235.164 100922378410658.34 0.0 -425301.5641547127 223018.98934499043 0.0 3.3e+26
-11321664977561.281 4279345986394.4146 0.0 -45330.14557733351 -3302378.183787153 0.0 4.87e+27
-17816667809556.76 8688646954783.131 0.0 -168885.04778042197 -2403996.9334498337 0.0 5.97e+27
10257933894839.906 28484416927195.81 0.0 -1608842.7458562981 905739.478269822 0.0 6.42e+26
-5152609710165.802 79277325591314.8 0.0 -1276739.6784888054 -59393.32563283443 0.0 1.898e+30
112959155069556.8 88461693034396.12 0.0 -591346.0818294503 758387.5484881698 0.0 5.68e+29
279229622166828.34 66717404214358.95 0.0 -158100.33585222275 661054.3497326021 0.0 8.68e+28
446276687602196.75 53682319459861.05 0.0 -64973.25832076677 539257.4583569176 0.0 1.02e+29
