9 10000 24762.303557869418 8974093553654.3 500 6.67e-08
184120040243.8055 269617671600.96274 0.0 215.6213443176372 2661.7474229199406 0.0 1.988e+33
-87596440659766.22 92444463054210.36 0.0 57025.54046144096 -372978.687383928 0.0 3.3e+26
13348683435807.314 -7186652736611.498 0.0 -50041.23886968107 2909511.661962233 0.0 4.87e+27
25184666224475.883 -7193874956858.521 0.0 -84123.26379160816 1809383.3863331478 0.0 5.97e+27
-5382007740159.849 30955182478707.754 0.0 -1692236.7923654711 -542558.744636668 0.0 6.42e+26
-80369756922319.11 -4316333991922.692 0.0 74607.47965750533 -1254129.0628228893 0.0 1.898e+30
34685328857900.48 139514040579641.27 0.0 -930619.8839537551 234915.21605886746 0.0 5.68e+29
256061403848834.22 129772265482234.27 0.0 -307554.57066121616 606310.3454756552 0.0 8.68e+28
436657745070632.8 106584591706890.72 0.0 -129008.66435108804 527671.8607680058 0.0 1.02e+29
