9 10000 24762.303557869418 8974093553654.3 500 6.67e-08
15258156899.075102 3661481214.7423635 0.0 779.9308807031051 265.38264918499334 0.0 1.988e+33
-31527681249562.66 69054240080870.27 0.0 -823949.461834832 926811.6333346219 0.0 3.3e+26
-25978711446288.37 5466764687433.222 0.0 588641.7327351712 -1580681.0295750324 0.0 4.87e+27
-26308082740283.035 -132309235269.13129 0.0 585775.6502411184 -1688839.3208239276 0.0 5.97e+27
-29730820698788.98 12841216121830.691 0.0 -683014.1182164104 -1552726.2448764008 0.0 6.42e+26
63516882920534.46 45497418581684.38 0.0 -744987.3941583458 1065816.1668837557 0.0 1.898e+30
138973190455446.67 35375408632527.63 0.0 -236775.64630590705 932155.1454496328 0.0 5.68e+29
285987360329715.4 25227153673476.88 0.0 -59790.51047887187 676985.9478963614 0.0 8.68e+28
449045672809370.06 20180528790635.504 0.0 -24426.478411506927 542587.8089703477 0.0 1.02e+29
