9 10000 24762.303557869418 8974093553654.3 500 6.67e-08
105745335990.77527 70385605963.97287 0.0 1364.326577549268 1637.873667002497 0.0 1.988e+33
-73798297182835.97 103141758181644.67 0.0 -364737.06367041724 136925.0620678703 0.0 3.3e+26
10327874019508.0 -20700021333942.504 0.0 1992111.0662835112 -336260.7409729534 0.0 4.87e+27
1325489564335.5354 -16702824512727.988 0.0 2697408.2947429763 -556644.979854532 0.0 5.97e+27
-10700511797423.021 30591479890936.652 0.0 -1610961.5508608953 -532593.8405157523 0.0 6.42e+26
-20751696852929.88 76976342704051.97 0.0 -1234893.905936347 -310115.4307782533 0.0 1.898e+30
105257862103525.89 97537103430415.47 0.0 -651852.363025485 706882.8880562586 0.0 5.68e+29
277152157433855.4 74872185690175.52 0.0 -177422.23599817586 656150.6852692554 0.0 8.68e+28
445422151613809.0 60352691654671.664 0.0 -73046.25768035658 538228.8136822036 0.0 1.02e+29
