9 10000 24762.303557869418 8974093553654.3 500 6.67e-08
1828611420.2564602 205859949.04887033 0.0 287.06784801419946 42.82939845707527 0.0 1.988e+33
-7592531676920.684 36827774383486.336 0.0 -1144618.985810048 1903487.7711790958 0.0 3.3e+26
-7602996305563.559 24395101844918.62 0.0 -1710718.6150936983 507948.0338066844 0.0 4.87e+27
-3200160058850.628 23398988039441.043 0.0 -1973674.7415046152 515486.82631546486 0.0 5.97e+27
9366904576185.36 24091132172460.63 0.0 -1836159.335160813 1145531.5091363327 0.0 6.42e+26
76202833224448.86 16076717572870.39 0.0 -264033.65090913384 1277586.0417093518 0.0 1.898e+30
142903809238629.22 11915955404534.703 0.0 -79785.65788806557 958316.037033658 0.0 5.68e+29
286975804713248.1 8429875180869.065 0.0 -19980.567622406088 679310.6912185006 0.0 8.68e+28
449449309315195.5 6737811036179.157 0.0 -8155.578979086321 543072.4231603431 0.0 1.02e+29
