9 10000 24762.303557869418 8974093553654.3 500 6.67e-08
151876032685.8413 143797968048.31903 0.0 1060.8709152341596 2289.730476493121 0.0 1.988e+33
-84098361182681.73 103898541485658.31 0.0 -190816.67555668714 -90507.52328881137 0.0 3.3e+26
6180746302876.301 12283818257880.854 0.0 -3111644.530143071 19148.515842046087 0.0 4.87e+27
9559820829296.318 21457455033636.0 0.0 -2067182.0864579987 50496.95671933447 0.0 5.97e+27
-3682827925966.9766 -22410366189330.19 0.0 2384596.876547678 -314372.90607340576 0.0 6.42e+26
-60426636903480.72 52990198759111.18 0.0 -840643.000612456 -940263.9969691177 0.0 1.898e+30
78060740079665.78 120530147875703.27 0.0 -804905.248979927 524959.8468146874 0.0 5.68e+29
269497997335369.8 98923440423787.03 0.0 -234417.65222855064 638072.0929947719 0.0 8.68e+28
442260277247714.0 80276953234560.58 0.0 -97161.63198918948 534421.2163169789 0.0 1.02e+29
