9 10000 24762.303557869418 8974093553654.3 500 6.67e-08
184075170954.6502 335265530353.22424 0.0 -227.1627639235208 2612.765706206487 0.0 1.988e+33
-84351481366514.08 81338712060337.39 0.0 210312.78804086172 -526909.6711478765 0.0 3.3e+26
-29284311281277.094 9577326848458.002 0.0 -713073.9542423355 -1059807.3165372957 0.0 4.87e+27
-20318633768666.45 2316703586410.314 0.0 -1095698.800280349 -2063915.6796297962 0.0 5.97e+27
-19589571986369.324 -11351887135684.934 0.0 1327951.8749350572 -1992496.1161296035 0.0 6.42e+26
-72509378423763.92 -34241922574257.277 0.0 552246.9637107896 -1132031.9333445192 0.0 1.898e+30
11273863754667.773 143400671001496.62 0.0 -955928.6546158341 78473.06839455565 0.0 5.68e+29
248008807675265.84 144554126709256.72 0.0 -342617.5895478451 587265.8001005757 0.0 8.68e+28
433267618482355.7 119601307855153.94 0.0 -144768.98213244768 523586.99169460364 0.0 1.02e+29
