9 10000 24762.303557869418 8974093553654.3 500 6.67e-08
163883975022.35077 173272377454.99292 0.0 870.007149270587 2460.967836657949 0.0 1.988e+33
-86100616119585.11 102338831122297.03 0.0 -132537.78721222954 -161090.77588654522 0.0 3.3e+26
-18719282854159.8 -10716192661023.23 0.0 -235176.7773831265 -2140175.6818420733 0.0 4.87e+27
-14395597850162.299 3679824732116.6807 0.0 -785913.4785279208 -2866974.8667297103 0.0 5.97e+27
22176292686735.15 -11974928722252.412 0.0 1391530.3281413086 1732397.7111063723 0.0 6.42e+26
-69608757783285.21 40411514970568.26 0.0 -638451.4750157649 -1084716.1913840512 0.0 1.898e+30
67838817535652.95 126609100432980.94 0.0 -845273.9373831887 456589.8303556107 0.0 5.68e+29
266479912745371.06 106779832134424.16 0.0 -253039.526529955 630940.0945315514 0.0 8.68e+28
441007669331107.7 86884467563233.38 0.0 -105159.76923316257 532912.4042882221 0.0 1.02e+29
