9 10000 24762.303557869418 8974093553654.3 500 6.67e-08
39444682217.87384 14421459332.824371 0.0 1162.2332501465885 625.7673988599943 0.0 1.988e+33
-49422437744950.27 86942082706569.05 0.0 -633225.5106547666 554664.8363734625 0.0 3.3e+26
22679988362491.35 9146132513361.803 0.0 429086.1652829992 1846585.0267922624 0.0 4.87e+27
19947931427328.742 3675924847427.8325 0.0 484010.71354980284 2326819.7331138854 0.0 5.97e+27
-11845761257748.082 -23359808469206.53 0.0 2052658.929069227 -590482.7796754312 0.0 6.42e+26
40361360971360.445 67428335646920.91 0.0 -1097966.5729722315 682383.6374423669 0.0 1.898e+30
131228608322456.86 57868861898130.45 0.0 -387132.68255399173 880487.5433105896 0.0 5.68e+29
284015463541456.3 41938104466302.53 0.0 -99389.43429682175 672341.7108838974 0.0 8.68e+28
448239382685374.4 33605242203562.754 0.0 -40674.66079668985 541618.73255207 0.0 1.02e+29
