9 10000 24762.303557869418 8974093553654.3 500 6.67e-08
185474415742.97482 302571326320.3211 0.0 0.8802096638789371 2658.2494323339683 0.0 1.988e+33
-86447050366143.7 87367089675009.42 0.0 129625.87620307745 -447658.6036235103 0.0 3.3e+26
-10930727961946.438 17355855703500.006 0.0 -2302881.88365838 126719.83497954556 0.0 4.87e+27
9018351280951.014 13940765083503.463 0.0 -2657093.7607695977 942502.7433181434 0.0 5.97e+27
-22185518786855.375 15337864186981.277 0.0 -800543.8905770736 -1916526.9076291882 0.0 6.42e+26
-77922441035724.77 -19658319460972.18 0.0 319080.0433990853 -1216334.9618329902 0.0 1.898e+30
23057935227518.664 141941873634368.78 0.0 -946515.941007196 157206.628991066 0.0 5.68e+29
252143641985962.28 137222151761089.92 0.0 -325224.30750402773 597045.5002749871 0.0 8.68e+28
435011465224206.25 113105594581505.84 0.0 -136903.89839227503 525688.2646230508 0.0 1.02e+29
