9 10000 24762.303557869418 8974093553654.3 500 6.67e-08
122303730885.69975 92112266108.13138 0.0 1303.6375383711254 1870.7615277780026 0.0 1.988e+33
-77948859204126.42 104337098369330.94 0.0 -306076.45134108816 57202.54957430281 0.0 3.3e+26
27536259769262.84 -15422980015550.816 0.0 768439.7758719348 949956.9056707121 0.0 4.87e+27
25557316233984.72 -7542118560433.8545 0.0 1018429.4582115046 1447683.0209872695 0.0 5.97e+27
-26046758317954.31 16651812262726.582 0.0 -734523.7588505597 -1633338.355715014 0.0 6.42e+26
-35531853337403.21 71653109499563.38 0.0 -1145141.0368782002 -546092.8171277859 0.0 1.898e+30
96834900722473.92 105944447806143.27 0.0 -707863.8984066952 650543.298616076 0.0 5.68e+29
274836385704665.72 82962749001685.66 0.0 -196593.0893510298 650682.6536725152 0.0 8.68e+28
444467760818376.44 67009580654607.45 0.0 -81103.13655101915 537079.7187609539 0.0 1.02e+29
