9 10000 24762.303557869418 8974093553654.3 500 6.67e-08
180093968941.10724 236761992422.1231 0.0 436.4045418943604 2638.0775510358644 0.0 1.988e+33
-87884555905156.33 96616611919337.23 0.0 -9812.535018398077 -301192.23206731497 0.0 3.3e+26
2408487786299.131 -28776889632085.684 0.0 1250267.2829109982 733526.7586809361 0.0 4.87e+27
16575966139239.041 -24020785444189.953 0.0 1311630.7387445162 779142.0786702945 0.0 5.97e+27
15192969351401.574 28880911360752.76 0.0 -1478949.1599408214 841569.3112372023 0.0 6.42e+26
-79765741526395.73 11199632347494.799 0.0 -172344.65887632073 -1244282.0481593772 0.0 1.898e+30
46076357950683.16 136133177224503.25 0.0 -908342.5668701729 311063.5531099155 0.0 5.68e+29
259758764193644.3 122210890915478.28 0.0 -289623.5853997122 615052.5495874586 0.0 8.68e+28
438206095666042.4 100039758872968.1 0.0 -121085.05122185804 529537.3515120717 0.0 1.02e+29
