9 10000 24762.303557869418 8974093553654.3 500 6.67e-08
173328299394.27036 204473188556.33633 0.0 655.778428134606 2570.6710903806934 0.0 1.988e+33
-87371868673924.02 99910799970279.7 0.0 -72566.61876025323 -230953.60460142547 0.0 3.3e+26
-12250707647311.809 -28453464118816.527 0.0 1001765.0616795557 -737864.6536791266 0.0 4.87e+27
-3480748674169.139 -23440560463132.44 0.0 1724078.895922332 -1033423.3903296371 0.0 5.97e+27
27756775430777.133 11764101423647.39 0.0 -409008.911970923 1823861.5463227383 0.0 6.42e+26
-76134473181054.08 26300555898991.72 0.0 -412922.6855874528 -1187180.6305862912 0.0 1.898e+30
57152875040150.836 131821860988734.1 0.0 -879830.5377914214 385125.9175002922 0.0 5.68e+29
263232583290011.47 114544544816743.39 0.0 -271446.7269837611 623264.7650654122 0.0 8.68e+28
439656176589373.75 93472560907785.69 0.0 -113134.8301202118 531284.328156087 0.0 1.02e+29
