9 10000 24762.303557869418 8974093553654.3 500 6.67e-08
137845657149.25986 116659883555.70586 0.0 1200.377964367225 2090.7441332368653 0.0 1.988e+33
-81379951094489.77 104574363286065.89 0.0 -248374.43132197752 -18126.501827734948 0.0 3.3e+26
28489066555958.816 -484504021481.45935 0.0 -689991.5005516853 1353229.4638675442 0.0 4.87e+27
27189514095952.76 11076889930767.904 0.0 -694943.2507055936 1366390.6677313242 0.0 5.97e+27
-25615969389232.992 -6536855902891.758 0.0 910945.3945633007 -1897412.1121762998 0.0 6.42e+26
-48925252229851.49 63545091456353.92 0.0 -1011816.7125547373 -758649.5865260123 0.0 1.898e+30
87748329722340.28 113626265387789.72 0.0 -758997.8089003265 589761.2350582107 0.0 5.68e+29
272284276515190.97 90982134181680.03 0.0 -215596.88043686916 644654.780960262 0.0 8.68e+28
443413725476966.0 73651496671327.94 0.0 -89142.17276890727 535810.4251043595 0.0 1.02e+29
