9 10000 24762.303557869418 8974093553654.3 500 6.67e-08
7012731366.850531 1243044222.7981074 0.0 546.327560608706 132.017142399813 0.0 1.988e+33
-20539501404240.19 55743518447525.055 0.0 -957859.5702595534 1251439.6213420017 0.0 3.3e+26
-23702202228141.754 21141660186684.91 0.0 -822892.6826238687 -863328.4727539013 0.0 4.87e+27
-22795468543549.176 18298022833561.562 0.0 -1041317.658635667 -1117171.8415373333 0.0 5.97e+27
-14233322224081.65 26933415805476.664 0.0 -1731457.4287510642 -584332.0810171756 0.0 6.42e+26
71353814473376.03 31445525535376.24 0.0 -515858.275552665 1196514.5127582126 0.0 1.898e+30
141424704271235.72 23726737912144.895 0.0 -158843.04689465908 948480.819371134 0.0 5.68e+29
286604814555905.4 16835714003312.3 0.0 -39903.33157570095 678438.6469983904 0.0 8.68e+28
449297855128498.44 13460670674174.365 0.0 -16292.94666995788 542890.6703179128 0.0 1.02e+29
